day,start_time,end_time,title,location
friday,5:00 PM,6:30 PM,Arrival / Registration,ARCC
friday,6:15 PM,,ARCC Arena Opens,ARCC
friday,7:00 PM,,Start of Program,ARCC Arena
friday,7:20 PM,7:50 PM,Keynote 1: Jeff Schinstock,ARCC Arena
friday,7:50 PM,8:20 PM,Keynote 2: Sr. Miriam Bethel,ARCC Arena
friday,8:35 PM,9:55 PM,Holy Mass,ARCC Arena
friday,10:00 PM,,Dismissal,
saturday,7:30 AM,8:30 AM,"On-Campus Breakfast: 7:30-7:50 Yellow, 7:50-8:10 Orange, 8:10-8:30 Red",Patriot Hall
saturday,8:30 AM,,ARCC Arena Opens,ARCC
saturday,8:45 AM,,Start of Program,ARCC Arena
saturday,9:30 AM,10:00 AM,Keynote 3: Megan Hejlmstad,ARCC Arena
saturday,10:00 AM,10:30 AM,Keynote 4: Dr. John Love,ARCC Arena
saturday,10:45 AM,12:00 PM,Holy Mass,ARCC Arena
saturday,12:20 PM,1:20 PM,Lunch,Small Group Locations
saturday,1:40 PM,2:30 PM,Breakout Sessions,Various
saturday,2:30 PM,6:15 PM,Recreation,Various
saturday,4:20 PM,6:15 PM,"Dinner: 4:20-4:40 Red, 4:40-5:00 Orange, 5:00-5:20 Yellow, 5:20-5:40 Green, 5:40-6:00 Blue",Small Group Locations
saturday,6:15 PM,,ARCC Arena Opens,ARCC
saturday,6:45 PM,,Start of Program - Concert and P&W,ARCC Arena
saturday,7:55 PM,8:20 PM,Break,ARCC
saturday,8:20 PM,9:00 PM,"Keynote 5: Fr. Michael-Joseph Paris, OCD",ARCC Arena
saturday,9:00 PM,10:00 PM,Eucharistic Adoration,ARCC Arena
saturday,10:00 PM,,Dismissal,
sunday,7:30 AM,8:30 AM,"On-Campus Breakfast: 7:30-7:50 Yellow, 7:50-8:10 Orange, 8:10-8:30 Red",Patriot Hall
sunday,8:30 AM,,ARCC Arena Opens,ARCC
sunday,9:00 AM,,Start of Program,ARCC Arena
sunday,9:30 AM,10:00 AM,Keynote 6: Lisa Hunt,ARCC Arena
sunday,10:00 AM,10:30 AM,Keynote 7: Fr. James Searby,ARCC Arena
sunday,11:00 AM,12:20 PM,Holy Mass,ARCC Arena
sunday,12:20 PM,,Final Dismissal,All Exits
